date,ticker,date,eps,wallstreet_estimates,estimize_estimates,fiscal_year,fiscal_quarter,beat
2015-01-21,SNDK,2015-01-21,1.3,1.351,1.42346938776,2014,4,0
2014-10-16,SNDK,2014-10-16,1.45,1.3519999999999999,1.4558,2014,3,1
2014-07-16,SNDK,2014-07-16,1.41,1.368,1.4215789473700002,2014,2,1
2014-04-16,SNDK,2014-04-16,1.44,1.248,1.2930000000000001,2014,1,1
2014-01-22,SNDK,2014-01-22,1.71,1.5759999999999998,1.59137931034,2013,4,1
2013-10-16,SNDK,2013-10-16,1.59,1.3159999999999998,1.3404,2013,3,1
2013-07-17,SNDK,2013-07-17,1.21,0.929,0.955714285714,2013,2,1
2013-04-17,SNDK,2013-04-17,0.84,0.7959999999999999,0.826153846154,2013,1,1
2013-01-23,SNDK,2013-01-23,1.05,0.73,0.768260869565,2012,4,1
2012-10-18,SNDK,2012-10-18,0.48,0.33,0.33,2012,3,1
2012-07-19,SNDK,2012-07-19,0.21,0.19,0.19,2012,2,1
2012-04-19,SNDK,2012-04-19,0.63,0.7,0.7583333333329999,2012,1,0
2012-01-25,SNDK,2012-01-25,1.29,1.26,1.3259999999999998,2011,4,1
2011-10-20,SNDK,2011-10-20,1.2,1.07,1.07,2011,3,1
2011-06-01,SNDK,2011-06-01,1.14,1.0,0.0,2011,2,1
2011-03-01,SNDK,2011-03-01,1.03,1.0,0.0,2011,1,1
2010-12-01,SNDK,2010-12-01,1.27,1.09,0.0,2010,4,1
2010-09-01,SNDK,2010-09-01,1.3,1.05,0.0,2010,3,1
2010-06-01,SNDK,2010-06-01,1.08,0.9,0.0,2010,2,1
2010-03-01,SNDK,2010-03-01,0.95,0.59,0.0,2010,1,1
2009-12-01,SNDK,2009-12-01,1.18,0.65,0.0,2009,4,1
2009-09-01,SNDK,2009-09-01,0.75,0.22,0.0,2009,3,1
2009-06-01,SNDK,2009-06-01,0.36,0.0,0.0,2009,2,1
2009-03-01,SNDK,2009-03-01,-0.48,0.0,0.0,2009,1,0
2008-12-01,SNDK,2008-12-01,-1.59,0.0,0.0,2008,4,0
2008-09-01,SNDK,2008-09-01,-0.59,0.0,0.0,2008,3,0
2008-06-01,SNDK,2008-06-01,-0.59,0.11,0.0,2008,2,0
2008-03-01,SNDK,2008-03-01,-0.1,0.265,0.0,2008,1,0
2007-12-01,SNDK,2007-12-01,0.69,0.615,0.0,2007,4,1
2007-09-01,SNDK,2007-09-01,0.54,0.32,0.0,2007,3,1
2007-06-01,SNDK,2007-06-01,0.3,0.16,0.0,2007,2,1
2007-03-01,SNDK,2007-03-01,0.19,0.185,0.0,2007,1,1
2006-12-01,SNDK,2006-12-01,0.87,0.7,0.0,2006,4,1
2006-09-01,SNDK,2006-09-01,0.61,0.575,0.0,2006,3,1
2006-06-01,SNDK,2006-06-01,0.58,0.45,0.0,2006,2,1
2006-03-01,SNDK,2006-03-01,0.44,0.45,0.0,2006,1,0
2005-12-01,SNDK,2005-12-01,0.68,0.61,0.0,2005,4,1
2005-09-01,SNDK,2005-09-01,0.55,0.35,0.0,2005,3,1
2005-06-01,SNDK,2005-06-01,0.37,0.32,0.0,2005,2,1
2005-03-01,SNDK,2005-03-01,0.39,0.31,0.0,2005,1,1
2004-12-01,SNDK,2004-12-01,0.42,0.29,0.0,2004,4,1
2004-09-01,SNDK,2004-09-01,0.29,0.34,0.0,2004,3,0
2004-06-01,SNDK,2004-06-01,0.38,0.3,0.0,2004,2,1
2004-03-01,SNDK,2004-03-01,0.34,0.318,0.0,2004,1,1
2003-12-01,SNDK,2003-12-01,0.47,0.38299999999999995,0.0,2003,4,1
2003-09-01,SNDK,2003-09-01,0.3,0.215,0.0,2003,3,1
2003-06-01,SNDK,2003-06-01,0.26,0.163,0.0,2003,2,1
2003-03-01,SNDK,2003-03-01,0.165,0.08800000000000001,0.0,2003,1,1
2002-12-01,SNDK,2002-12-01,0.13,0.0,0.0,2002,4,1
2002-09-01,SNDK,2002-09-01,0.08,0.0,0.0,2002,3,1
2002-06-01,SNDK,2002-06-01,0.065,0.0,0.0,2002,2,1
2002-03-01,SNDK,2002-03-01,0.0,0.0,0.0,2002,1,0
2001-12-01,SNDK,2001-12-01,0.0,0.0,0.0,2001,4,0
2001-09-01,SNDK,2001-09-01,0.0,0.0,0.0,2001,3,0
2001-06-01,SNDK,2001-06-01,0.02,0.0,0.0,2001,2,1
2001-03-01,SNDK,2001-03-01,0.0,0.0,0.0,2001,1,0
2000-12-01,SNDK,2000-12-01,0.205,0.0,0.0,2000,4,1
2000-09-01,SNDK,2000-09-01,0.175,0.0,0.0,2000,3,1
2000-06-01,SNDK,2000-06-01,0.165,0.0,0.0,2000,2,1
2000-03-01,SNDK,2000-03-01,0.105,0.0,0.0,2000,1,1
